Glyph A,Glyph B,Name A,Name B,Group A,Group B,Marks A,Marks B,Magnitude Delta,Magnitude Result,Interaction Type,Signal A,Signal B
G,Z,gort,straif,cross,cross,2,4,2,Dominance,Crystalize,Loose Knot,Strong Anchor
G,R,gort,ruis,cross,cross,2,5,3,Dominance,Crystalize,Loose Knot,Maximal Fusion
G,A,gort,ailm,cross,diagonal,2,1,1,Modulation,Gate,Loose Knot,Atomic Flow
G,O,gort,onn,cross,diagonal,2,2,0,Resonance,Gate,Loose Knot,Weak Current
G,U,gort,ur,cross,diagonal,2,3,1,Modulation,Gate,Loose Knot,Median Stream
G,E,gort,eadhadh,cross,diagonal,2,4,2,Dominance,Gate,Loose Knot,Strong Torrent
G,I,gort,idad,cross,diagonal,2,5,3,Dominance,Gate,Loose Knot,Maximal Jet
G,AE,gort,ae,cross,backslash,2,1,1,Modulation,Fracture,Loose Knot,Atomic Twist
G,OI,gort,oi,cross,backslash,2,2,0,Resonance,Fracture,Loose Knot,Weak Vortex
G,UI,gort,ui,cross,backslash,2,3,1,Modulation,Fracture,Loose Knot,Median Shift
G,EA,gort,ea,cross,backslash,2,4,2,Dominance,Fracture,Loose Knot,Strong Warp
G,IO,gort,io,cross,backslash,2,5,3,Dominance,Fracture,Loose Knot,Maximal Chaos
N,B,ngeadal,beith,cross,right,3,1,2,Dominance,Anchor,Median Lock,Atomic Initiation
N,L,ngeadal,luis,cross,right,3,2,1,Modulation,Anchor,Median Lock,Weak Coupling
N,F,ngeadal,fearn,cross,right,3,3,0,Resonance,Anchor,Median Lock,Median Assertion
N,S,ngeadal,sail,cross,right,3,4,1,Modulation,Anchor,Median Lock,Strong Enforcement
N,P,ngeadal,peith,cross,right,3,5,2,Dominance,Anchor,Median Lock,Maximal Drive
N,H,ngeadal,huath,cross,left,3,1,2,Dominance,Anchor,Median Lock,Atomic Reaction
N,D,ngeadal,duir,cross,left,3,2,1,Modulation,Anchor,Median Lock,Weak Resistance
N,T,ngeadal,tinne,cross,left,3,3,0,Resonance,Anchor,Median Lock,Median Balance
N,C,ngeadal,coll,cross,left,3,4,1,Modulation,Anchor,Median Lock,Strong Barrier
N,W,ngeadal,ceirt,cross,left,3,5,2,Dominance,Anchor,Median Lock,Maximal Opposition
N,M,ngeadal,muin,cross,cross,3,1,2,Dominance,Crystalize,Median Lock,Atomic Bind
N,G,ngeadal,gort,cross,cross,3,2,1,Modulation,Crystalize,Median Lock,Loose Knot
N,N,ngeadal,ngeadal,cross,cross,3,3,0,Resonance,Crystalize,Median Lock,Median Lock
N,Z,ngeadal,straif,cross,cross,3,4,1,Modulation,Crystalize,Median Lock,Strong Anchor
N,R,ngeadal,ruis,cross,cross,3,5,2,Dominance,Crystalize,Median Lock,Maximal Fusion
N,A,ngeadal,ailm,cross,diagonal,3,1,2,Dominance,Gate,Median Lock,Atomic Flow
N,O,ngeadal,onn,cross,diagonal,3,2,1,Modulation,Gate,Median Lock,Weak Current
N,U,ngeadal,ur,cross,diagonal,3,3,0,Resonance,Gate,Median Lock,Median Stream
N,E,ngeadal,eadhadh,cross,diagonal,3,4,1,Modulation,Gate,Median Lock,Strong Torrent
N,I,ngeadal,idad,cross,diagonal,3,5,2,Dominance,Gate,Median Lock,Maximal Jet
N,AE,ngeadal,ae,cross,backslash,3,1,2,Dominance,Fracture,Median Lock,Atomic Twist
N,OI,ngeadal,oi,cross,backslash,3,2,1,Modulation,Fracture,Median Lock,Weak Vortex
N,UI,ngeadal,ui,cross,backslash,3,3,0,Resonance,Fracture,Median Lock,Median Shift
N,EA,ngeadal,ea,cross,backslash,3,4,1,Modulation,Fracture,Median Lock,Strong Warp
N,IO,ngeadal,io,cross,backslash,3,5,2,Dominance,Fracture,Median Lock,Maximal Chaos
Z,B,straif,beith,cross,right,4,1,3,Dominance,Anchor,Strong Anchor,Atomic Initiation
Z,L,straif,luis,cross,right,4,2,2,Dominance,Anchor,Strong Anchor,Weak Coupling
Z,F,straif,fearn,cross,right,4,3,1,Modulation,Anchor,Strong Anchor,Median Assertion
Z,S,straif,sail,cross,right,4,4,0,Resonance,Anchor,Strong Anchor,Strong Enforcement
Z,P,straif,peith,cross,right,4,5,1,Modulation,Anchor,Strong Anchor,Maximal Drive
Z,H,straif,huath,cross,left,4,1,3,Dominance,Anchor,Strong Anchor,Atomic Reaction
Z,D,straif,duir,cross,left,4,2,2,Dominance,Anchor,Strong Anchor,Weak Resistance
Z,T,straif,tinne,cross,left,4,3,1,Modulation,Anchor,Strong Anchor,Median Balance
Z,C,straif,coll,cross,left,4,4,0,Resonance,Anchor,Strong Anchor,Strong Barrier
Z,W,straif,ceirt,cross,left,4,5,1,Modulation,Anchor,Strong Anchor,Maximal Opposition
Z,M,straif,muin,cross,cross,4,1,3,Dominance,Crystalize,Strong Anchor,Atomic Bind
Z,G,straif,gort,cross,cross,4,2,2,Dominance,Crystalize,Strong Anchor,Loose Knot
Z,N,straif,ngeadal,cross,cross,4,3,1,Modulation,Crystalize,Strong Anchor,Median Lock
Z,Z,straif,straif,cross,cross,4,4,0,Resonance,Crystalize,Strong Anchor,Strong Anchor
Z,R,straif,ruis,cross,cross,4,5,1,Modulation,Crystalize,Strong Anchor,Maximal Fusion
Z,A,straif,ailm,cross,diagonal,4,1,3,Dominance,Gate,Strong Anchor,Atomic Flow
Z,O,straif,onn,cross,diagonal,4,2,2,Dominance,Gate,Strong Anchor,Weak Current
Z,U,straif,ur,cross,diagonal,4,3,1,Modulation,Gate,Strong Anchor,Median Stream
Z,E,straif,eadhadh,cross,diagonal,4,4,0,Resonance,Gate,Strong Anchor,Strong Torrent
Z,I,straif,idad,cross,diagonal,4,5,1,Modulation,Gate,Strong Anchor,Maximal Jet
Z,AE,straif,ae,cross,backslash,4,1,3,Dominance,Fracture,Strong Anchor,Atomic Twist
Z,OI,straif,oi,cross,backslash,4,2,2,Dominance,Fracture,Strong Anchor,Weak Vortex
Z,UI,straif,ui,cross,backslash,4,3,1,Modulation,Fracture,Strong Anchor,Median Shift
Z,EA,straif,ea,cross,backslash,4,4,0,Resonance,Fracture,Strong Anchor,Strong Warp
Z,IO,straif,io,cross,backslash,4,5,1,Modulation,Fracture,Strong Anchor,Maximal Chaos
R,B,ruis,beith,cross,right,5,1,4,Dominance,Anchor,Maximal Fusion,Atomic Initiation
R,L,ruis,luis,cross,right,5,2,3,Dominance,Anchor,Maximal Fusion,Weak Coupling
R,F,ruis,fearn,cross,right,5,3,2,Dominance,Anchor,Maximal Fusion,Median Assertion
R,S,ruis,sail,cross,right,5,4,1,Modulation,Anchor,Maximal Fusion,Strong Enforcement
R,P,ruis,peith,cross,right,5,5,0,Resonance,Anchor,Maximal Fusion,Maximal Drive
R,H,ruis,huath,cross,left,5,1,4,Dominance,Anchor,Maximal Fusion,Atomic Reaction
R,D,ruis,duir,cross,left,5,2,3,Dominance,Anchor,Maximal Fusion,Weak Resistance
R,T,ruis,tinne,cross,left,5,3,2,Dominance,Anchor,Maximal Fusion,Median Balance
R,C,ruis,coll,cross,left,5,4,1,Modulation,Anchor,Maximal Fusion,Strong Barrier
R,W,ruis,ceirt,cross,left,5,5,0,Resonance,Anchor,Maximal Fusion,Maximal Opposition
R,M,ruis,muin,cross,cross,5,1,4,Dominance,Crystalize,Maximal Fusion,Atomic Bind
R,G,ruis,gort,cross,cross,5,2,3,Dominance,Crystalize,Maximal Fusion,Loose Knot
R,N,ruis,ngeadal,cross,cross,5,3,2,Dominance,Crystalize,Maximal Fusion,Median Lock
R,Z,ruis,straif,cross,cross,5,4,1,Modulation,Crystalize,Maximal Fusion,Strong Anchor
R,R,ruis,ruis,cross,cross,5,5,0,Resonance,Crystalize,Maximal Fusion,Maximal Fusion
R,A,ruis,ailm,cross,diagonal,5,1,4,Dominance,Gate,Maximal Fusion,Atomic Flow
R,O,ruis,onn,cross,diagonal,5,2,3,Dominance,Gate,Maximal Fusion,Weak Current
R,U,ruis,ur,cross,diagonal,5,3,2,Dominance,Gate,Maximal Fusion,Median Stream
R,E,ruis,eadhadh,cross,diagonal,5,4,1,Modulation,Gate,Maximal Fusion,Strong Torrent
R,I,ruis,idad,cross,diagonal,5,5,0,Resonance,Gate,Maximal Fusion,Maximal Jet
R,AE,ruis,ae,cross,backslash,5,1,4,Dominance,Fracture,Maximal Fusion,Atomic Twist
R,OI,ruis,oi,cross,backslash,5,2,3,Dominance,Fracture,Maximal Fusion,Weak Vortex
R,UI,ruis,ui,cross,backslash,5,3,2,Dominance,Fracture,Maximal Fusion,Median Shift
R,EA,ruis,ea,cross,backslash,5,4,1,Modulation,Fracture,Maximal Fusion,Strong Warp
R,IO,ruis,io,cross,backslash,5,5,0,Resonance,Fracture,Maximal Fusion,Maximal Chaos
A,B,ailm,beith,diagonal,right,1,1,0,Resonance,Propel,Atomic Flow,Atomic Initiation
A,L,ailm,luis,diagonal,right,1,2,1,Modulation,Propel,Atomic Flow,Weak Coupling
A,F,ailm,fearn,diagonal,right,1,3,2,Dominance,Propel,Atomic Flow,Median Assertion
A,S,ailm,sail,diagonal,right,1,4,3,Dominance,Propel,Atomic Flow,Strong Enforcement
A,P,ailm,peith,diagonal,right,1,5,4,Dominance,Propel,Atomic Flow,Maximal Drive
A,H,ailm,huath,diagonal,left,1,1,0,Resonance,Dampen,Atomic Flow,Atomic Reaction
A,D,ailm,duir,diagonal,left,1,2,1,Modulation,Dampen,Atomic Flow,Weak Resistance
A,T,ailm,tinne,diagonal,left,1,3,2,Dominance,Dampen,Atomic Flow,Median Balance
A,C,ailm,coll,diagonal,left,1,4,3,Dominance,Dampen,Atomic Flow,Strong Barrier
A,W,ailm,ceirt,diagonal,left,1,5,4,Dominance,Dampen,Atomic Flow,Maximal Opposition
A,M,ailm,muin,diagonal,cross,1,1,0,Resonance,Gate,Atomic Flow,Atomic Bind
A,G,ailm,gort,diagonal,cross,1,2,1,Modulation,Gate,Atomic Flow,Loose Knot
A,N,ailm,ngeadal,diagonal,cross,1,3,2,Dominance,Gate,Atomic Flow,Median Lock
A,Z,ailm,straif,diagonal,cross,1,4,3,Dominance,Gate,Atomic Flow,Strong Anchor
A,R,ailm,ruis,diagonal,cross,1,5,4,Dominance,Gate,Atomic Flow,Maximal Fusion
A,A,ailm,ailm,diagonal,diagonal,1,1,0,Resonance,Stream,Atomic Flow,Atomic Flow
A,O,ailm,onn,diagonal,diagonal,1,2,1,Modulation,Stream,Atomic Flow,Weak Current
A,U,ailm,ur,diagonal,diagonal,1,3,2,Dominance,Stream,Atomic Flow,Median Stream
A,E,ailm,eadhadh,diagonal,diagonal,1,4,3,Dominance,Stream,Atomic Flow,Strong Torrent
A,I,ailm,idad,diagonal,diagonal,1,5,4,Dominance,Stream,Atomic Flow,Maximal Jet
A,AE,ailm,ae,diagonal,backslash,1,1,0,Resonance,Turbulence,Atomic Flow,Atomic Twist
A,OI,ailm,oi,diagonal,backslash,1,2,1,Modulation,Turbulence,Atomic Flow,Weak Vortex
A,UI,ailm,ui,diagonal,backslash,1,3,2,Dominance,Turbulence,Atomic Flow,Median Shift
A,EA,ailm,ea,diagonal,backslash,1,4,3,Dominance,Turbulence,Atomic Flow,Strong Warp
A,IO,ailm,io,diagonal,backslash,1,5,4,Dominance,Turbulence,Atomic Flow,Maximal Chaos
O,B,onn,beith,diagonal,right,2,1,1,Modulation,Propel,Weak Current,Atomic Initiation
O,L,onn,luis,diagonal,right,2,2,0,Resonance,Propel,Weak Current,Weak Coupling
O,F,onn,fearn,diagonal,right,2,3,1,Modulation,Propel,Weak Current,Median Assertion
O,S,onn,sail,diagonal,right,2,4,2,Dominance,Propel,Weak Current,Strong Enforcement
O,P,onn,peith,diagonal,right,2,5,3,Dominance,Propel,Weak Current,Maximal Drive
O,H,onn,huath,diagonal,left,2,1,1,Modulation,Dampen,Weak Current,Atomic Reaction
O,D,onn,duir,diagonal,left,2,2,0,Resonance,Dampen,Weak Current,Weak Resistance
O,T,onn,tinne,diagonal,left,2,3,1,Modulation,Dampen,Weak Current,Median Balance
O,C,onn,coll,diagonal,left,2,4,2,Dominance,Dampen,Weak Current,Strong Barrier
O,W,onn,ceirt,diagonal,left,2,5,3,Dominance,Dampen,Weak Current,Maximal Opposition
O,M,onn,muin,diagonal,cross,2,1,1,Modulation,Gate,Weak Current,Atomic Bind
O,G,onn,gort,diagonal,cross,2,2,0,Resonance,Gate,Weak Current,Loose Knot
O,N,onn,ngeadal,diagonal,cross,2,3,1,Modulation,Gate,Weak Current,Median Lock
O,Z,onn,straif,diagonal,cross,2,4,2,Dominance,Gate,Weak Current,Strong Anchor
O,R,onn,ruis,diagonal,cross,2,5,3,Dominance,Gate,Weak Current,Maximal Fusion
O,A,onn,ailm,diagonal,diagonal,2,1,1,Modulation,Stream,Weak Current,Atomic Flow
O,O,onn,onn,diagonal,diagonal,2,2,0,Resonance,Stream,Weak Current,Weak Current
O,U,onn,ur,diagonal,diagonal,2,3,1,Modulation,Stream,Weak Current,Median Stream
O,E,onn,eadhadh,diagonal,diagonal,2,4,2,Dominance,Stream,Weak Current,Strong Torrent
O,I,onn,idad,diagonal,diagonal,2,5,3,Dominance,Stream,Weak Current,Maximal Jet
O,AE,onn,ae,diagonal,backslash,2,1,1,Modulation,Turbulence,Weak Current,Atomic Twist
O,OI,onn,oi,diagonal,backslash,2,2,0,Resonance,Turbulence,Weak Current,Weak Vortex
O,UI,onn,ui,diagonal,backslash,2,3,1,Modulation,Turbulence,Weak Current,Median Shift
O,EA,onn,ea,diagonal,backslash,2,4,2,Dominance,Turbulence,Weak Current,Strong Warp
O,IO,onn,io,diagonal,backslash,2,5,3,Dominance,Turbulence,Weak Current,Maximal Chaos
U,B,ur,beith,diagonal,right,3,1,2,Dominance,Propel,Median Stream,Atomic Initiation
U,L,ur,luis,diagonal,right,3,2,1,Modulation,Propel,Median Stream,Weak Coupling
U,F,ur,fearn,diagonal,right,3,3,0,Resonance,Propel,Median Stream,Median Assertion
U,S,ur,sail,diagonal,right,3,4,1,Modulation,Propel,Median Stream,Strong Enforcement
U,P,ur,peith,diagonal,right,3,5,2,Dominance,Propel,Median Stream,Maximal Drive
U,H,ur,huath,diagonal,left,3,1,2,Dominance,Dampen,Median Stream,Atomic Reaction
U,D,ur,duir,diagonal,left,3,2,1,Modulation,Dampen,Median Stream,Weak Resistance
U,T,ur,tinne,diagonal,left,3,3,0,Resonance,Dampen,Median Stream,Median Balance
U,C,ur,coll,diagonal,left,3,4,1,Modulation,Dampen,Median Stream,Strong Barrier
U,W,ur,ceirt,diagonal,left,3,5,2,Dominance,Dampen,Median Stream,Maximal Opposition
U,M,ur,muin,diagonal,cross,3,1,2,Dominance,Gate,Median Stream,Atomic Bind
U,G,ur,gort,diagonal,cross,3,2,1,Modulation,Gate,Median Stream,Loose Knot
U,N,ur,ngeadal,diagonal,cross,3,3,0,Resonance,Gate,Median Stream,Median Lock
U,Z,ur,straif,diagonal,cross,3,4,1,Modulation,Gate,Median Stream,Strong Anchor
U,R,ur,ruis,diagonal,cross,3,5,2,Dominance,Gate,Median Stream,Maximal Fusion
U,A,ur,ailm,diagonal,diagonal,3,1,2,Dominance,Stream,Median Stream,Atomic Flow
U,O,ur,onn,diagonal,diagonal,3,2,1,Modulation,Stream,Median Stream,Weak Current
U,U,ur,ur,diagonal,diagonal,3,3,0,Resonance,Stream,Median Stream,Median Stream
U,E,ur,eadhadh,diagonal,diagonal,3,4,1,Modulation,Stream,Median Stream,Strong Torrent
U,I,ur,idad,diagonal,diagonal,3,5,2,Dominance,Stream,Median Stream,Maximal Jet
U,AE,ur,ae,diagonal,backslash,3,1,2,Dominance,Turbulence,Median Stream,Atomic Twist
U,OI,ur,oi,diagonal,backslash,3,2,1,Modulation,Turbulence,Median Stream,Weak Vortex
U,UI,ur,ui,diagonal,backslash,3,3,0,Resonance,Turbulence,Median Stream,Median Shift
U,EA,ur,ea,diagonal,backslash,3,4,1,Modulation,Turbulence,Median Stream,Strong Warp
U,IO,ur,io,diagonal,backslash,3,5,2,Dominance,Turbulence,Median Stream,Maximal Chaos
E,B,eadhadh,beith,diagonal,right,4,1,3,Dominance,Propel,Strong Torrent,Atomic Initiation
E,L,eadhadh,luis,diagonal,right,4,2,2,Dominance,Propel,Strong Torrent,Weak Coupling
E,F,eadhadh,fearn,diagonal,right,4,3,1,Modulation,Propel,Strong Torrent,Median Assertion
E,S,eadhadh,sail,diagonal,right,4,4,0,Resonance,Propel,Strong Torrent,Strong Enforcement
E,P,eadhadh,peith,diagonal,right,4,5,1,Modulation,Propel,Strong Torrent,Maximal Drive
E,H,eadhadh,huath,diagonal,left,4,1,3,Dominance,Dampen,Strong Torrent,Atomic Reaction
E,D,eadhadh,duir,diagonal,left,4,2,2,Dominance,Dampen,Strong Torrent,Weak Resistance
E,T,eadhadh,tinne,diagonal,left,4,3,1,Modulation,Dampen,Strong Torrent,Median Balance
E,C,eadhadh,coll,diagonal,left,4,4,0,Resonance,Dampen,Strong Torrent,Strong Barrier
E,W,eadhadh,ceirt,diagonal,left,4,5,1,Modulation,Dampen,Strong Torrent,Maximal Opposition
E,M,eadhadh,muin,diagonal,cross,4,1,3,Dominance,Gate,Strong Torrent,Atomic Bind
E,G,eadhadh,gort,diagonal,cross,4,2,2,Dominance,Gate,Strong Torrent,Loose Knot
E,N,eadhadh,ngeadal,diagonal,cross,4,3,1,Modulation,Gate,Strong Torrent,Median Lock
E,Z,eadhadh,straif,diagonal,cross,4,4,0,Resonance,Gate,Strong Torrent,Strong Anchor
E,R,eadhadh,ruis,diagonal,cross,4,5,1,Modulation,Gate,Strong Torrent,Maximal Fusion
E,A,eadhadh,ailm,diagonal,diagonal,4,1,3,Dominance,Stream,Strong Torrent,Atomic Flow
E,O,eadhadh,onn,diagonal,diagonal,4,2,2,Dominance,Stream,Strong Torrent,Weak Current
E,U,eadhadh,ur,diagonal,diagonal,4,3,1,Modulation,Stream,Strong Torrent,Median Stream
E,E,eadhadh,eadhadh,diagonal,diagonal,4,4,0,Resonance,Stream,Strong Torrent,Strong Torrent
E,I,eadhadh,idad,diagonal,diagonal,4,5,1,Modulation,Stream,Strong Torrent,Maximal Jet
E,AE,eadhadh,ae,diagonal,backslash,4,1,3,Dominance,Turbulence,Strong Torrent,Atomic Twist
E,OI,eadhadh,oi,diagonal,backslash,4,2,2,Dominance,Turbulence,Strong Torrent,Weak Vortex
E,UI,eadhadh,ui,diagonal,backslash,4,3,1,Modulation,Turbulence,Strong Torrent,Median Shift
E,EA,eadhadh,ea,diagonal,backslash,4,4,0,Resonance,Turbulence,Strong Torrent,Strong Warp
E,IO,eadhadh,io,diagonal,backslash,4,5,1,Modulation,Turbulence,Strong Torrent,Maximal Chaos
I,B,idad,beith,diagonal,right,5,1,4,Dominance,Propel,Maximal Jet,Atomic Initiation
I,L,idad,luis,diagonal,right,5,2,3,Dominance,Propel,Maximal Jet,Weak Coupling
I,F,idad,fearn,diagonal,right,5,3,2,Dominance,Propel,Maximal Jet,Median Assertion
I,S,idad,sail,diagonal,right,5,4,1,Modulation,Propel,Maximal Jet,Strong Enforcement
I,P,idad,peith,diagonal,right,5,5,0,Resonance,Propel,Maximal Jet,Maximal Drive
I,H,idad,huath,diagonal,left,5,1,4,Dominance,Dampen,Maximal Jet,Atomic Reaction
I,D,idad,duir,diagonal,left,5,2,3,Dominance,Dampen,Maximal Jet,Weak Resistance
I,T,idad,tinne,diagonal,left,5,3,2,Dominance,Dampen,Maximal Jet,Median Balance
I,C,idad,coll,diagonal,left,5,4,1,Modulation,Dampen,Maximal Jet,Strong Barrier
I,W,idad,ceirt,diagonal,left,5,5,0,Resonance,Dampen,Maximal Jet,Maximal Opposition
I,M,idad,muin,diagonal,cross,5,1,4,Dominance,Gate,Maximal Jet,Atomic Bind
I,G,idad,gort,diagonal,cross,5,2,3,Dominance,Gate,Maximal Jet,Loose Knot
I,N,idad,ngeadal,diagonal,cross,5,3,2,Dominance,Gate,Maximal Jet,Median Lock
I,Z,idad,straif,diagonal,cross,5,4,1,Modulation,Gate,Maximal Jet,Strong Anchor
I,R,idad,ruis,diagonal,cross,5,5,0,Resonance,Gate,Maximal Jet,Maximal Fusion
I,A,idad,ailm,diagonal,diagonal,5,1,4,Dominance,Stream,Maximal Jet,Atomic Flow
I,O,idad,onn,diagonal,diagonal,5,2,3,Dominance,Stream,Maximal Jet,Weak Current
I,U,idad,ur,diagonal,diagonal,5,3,2,Dominance,Stream,Maximal Jet,Median Stream
I,E,idad,eadhadh,diagonal,diagonal,5,4,1,Modulation,Stream,Maximal Jet,Strong Torrent
I,I,idad,idad,diagonal,diagonal,5,5,0,Resonance,Stream,Maximal Jet,Maximal Jet
I,AE,idad,ae,diagonal,backslash,5,1,4,Dominance,Turbulence,Maximal Jet,Atomic Twist
I,OI,idad,oi,diagonal,backslash,5,2,3,Dominance,Turbulence,Maximal Jet,Weak Vortex
I,UI,idad,ui,diagonal,backslash,5,3,2,Dominance,Turbulence,Maximal Jet,Median Shift
I,EA,idad,ea,diagonal,backslash,5,4,1,Modulation,Turbulence,Maximal Jet,Strong Warp
I,IO,idad,io,diagonal,backslash,5,5,0,Resonance,Turbulence,Maximal Jet,Maximal Chaos
AE,B,ae,beith,backslash,right,1,1,0,Resonance,Distort,Atomic Twist,Atomic Initiation
AE,L,ae,luis,backslash,right,1,2,1,Modulation,Distort,Atomic Twist,Weak Coupling
AE,F,ae,fearn,backslash,right,1,3,2,Dominance,Distort,Atomic Twist,Median Assertion
AE,S,ae,sail,backslash,right,1,4,3,Dominance,Distort,Atomic Twist,Strong Enforcement
AE,P,ae,peith,backslash,right,1,5,4,Dominance,Distort,Atomic Twist,Maximal Drive
AE,H,ae,huath,backslash,left,1,1,0,Resonance,Invert,Atomic Twist,Atomic Reaction
AE,D,ae,duir,backslash,left,1,2,1,Modulation,Invert,Atomic Twist,Weak Resistance
AE,T,ae,tinne,backslash,left,1,3,2,Dominance,Invert,Atomic Twist,Median Balance
AE,C,ae,coll,backslash,left,1,4,3,Dominance,Invert,Atomic Twist,Strong Barrier
AE,W,ae,ceirt,backslash,left,1,5,4,Dominance,Invert,Atomic Twist,Maximal Opposition
AE,M,ae,muin,backslash,cross,1,1,0,Resonance,Fracture,Atomic Twist,Atomic Bind
AE,G,ae,gort,backslash,cross,1,2,1,Modulation,Fracture,Atomic Twist,Loose Knot
AE,N,ae,ngeadal,backslash,cross,1,3,2,Dominance,Fracture,Atomic Twist,Median Lock
AE,Z,ae,straif,backslash,cross,1,4,3,Dominance,Fracture,Atomic Twist,Strong Anchor
AE,R,ae,ruis,backslash,cross,1,5,4,Dominance,Fracture,Atomic Twist,Maximal Fusion
AE,A,ae,ailm,backslash,diagonal,1,1,0,Resonance,Turbulence,Atomic Twist,Atomic Flow
AE,O,ae,onn,backslash,diagonal,1,2,1,Modulation,Turbulence,Atomic Twist,Weak Current
AE,U,ae,ur,backslash,diagonal,1,3,2,Dominance,Turbulence,Atomic Twist,Median Stream
AE,E,ae,eadhadh,backslash,diagonal,1,4,3,Dominance,Turbulence,Atomic Twist,Strong Torrent
AE,I,ae,idad,backslash,diagonal,1,5,4,Dominance,Turbulence,Atomic Twist,Maximal Jet
AE,AE,ae,ae,backslash,backslash,1,1,0,Resonance,Phase Shift,Atomic Twist,Atomic Twist
AE,OI,ae,oi,backslash,backslash,1,2,1,Modulation,Phase Shift,Atomic Twist,Weak Vortex
AE,UI,ae,ui,backslash,backslash,1,3,2,Dominance,Phase Shift,Atomic Twist,Median Shift
AE,EA,ae,ea,backslash,backslash,1,4,3,Dominance,Phase Shift,Atomic Twist,Strong Warp
AE,IO,ae,io,backslash,backslash,1,5,4,Dominance,Phase Shift,Atomic Twist,Maximal Chaos
OI,B,oi,beith,backslash,right,2,1,1,Modulation,Distort,Weak Vortex,Atomic Initiation
OI,L,oi,luis,backslash,right,2,2,0,Resonance,Distort,Weak Vortex,Weak Coupling
OI,F,oi,fearn,backslash,right,2,3,1,Modulation,Distort,Weak Vortex,Median Assertion
OI,S,oi,sail,backslash,right,2,4,2,Dominance,Distort,Weak Vortex,Strong Enforcement
OI,P,oi,peith,backslash,right,2,5,3,Dominance,Distort,Weak Vortex,Maximal Drive
OI,H,oi,huath,backslash,left,2,1,1,Modulation,Invert,Weak Vortex,Atomic Reaction
OI,D,oi,duir,backslash,left,2,2,0,Resonance,Invert,Weak Vortex,Weak Resistance
OI,T,oi,tinne,backslash,left,2,3,1,Modulation,Invert,Weak Vortex,Median Balance
OI,C,oi,coll,backslash,left,2,4,2,Dominance,Invert,Weak Vortex,Strong Barrier
OI,W,oi,ceirt,backslash,left,2,5,3,Dominance,Invert,Weak Vortex,Maximal Opposition
OI,M,oi,muin,backslash,cross,2,1,1,Modulation,Fracture,Weak Vortex,Atomic Bind
OI,G,oi,gort,backslash,cross,2,2,0,Resonance,Fracture,Weak Vortex,Loose Knot
OI,N,oi,ngeadal,backslash,cross,2,3,1,Modulation,Fracture,Weak Vortex,Median Lock
OI,Z,oi,straif,backslash,cross,2,4,2,Dominance,Fracture,Weak Vortex,Strong Anchor
OI,R,oi,ruis,backslash,cross,2,5,3,Dominance,Fracture,Weak Vortex,Maximal Fusion
OI,A,oi,ailm,backslash,diagonal,2,1,1,Modulation,Turbulence,Weak Vortex,Atomic Flow
OI,O,oi,onn,backslash,diagonal,2,2,0,Resonance,Turbulence,Weak Vortex,Weak Current
OI,U,oi,ur,backslash,diagonal,2,3,1,Modulation,Turbulence,Weak Vortex,Median Stream
OI,E,oi,eadhadh,backslash,diagonal,2,4,2,Dominance,Turbulence,Weak Vortex,Strong Torrent
OI,I,oi,idad,backslash,diagonal,2,5,3,Dominance,Turbulence,Weak Vortex,Maximal Jet
OI,AE,oi,ae,backslash,backslash,2,1,1,Modulation,Phase Shift,Weak Vortex,Atomic Twist
OI,OI,oi,oi,backslash,backslash,2,2,0,Resonance,Phase Shift,Weak Vortex,Weak Vortex
OI,UI,oi,ui,backslash,backslash,2,3,1,Modulation,Phase Shift,Weak Vortex,Median Shift
OI,EA,oi,ea,backslash,backslash,2,4,2,Dominance,Phase Shift,Weak Vortex,Strong Warp
OI,IO,oi,io,backslash,backslash,2,5,3,Dominance,Phase Shift,Weak Vortex,Maximal Chaos
UI,B,ui,beith,backslash,right,3,1,2,Dominance,Distort,Median Shift,Atomic Initiation
UI,L,ui,luis,backslash,right,3,2,1,Modulation,Distort,Median Shift,Weak Coupling
UI,F,ui,fearn,backslash,right,3,3,0,Resonance,Distort,Median Shift,Median Assertion
UI,S,ui,sail,backslash,right,3,4,1,Modulation,Distort,Median Shift,Strong Enforcement
UI,P,ui,peith,backslash,right,3,5,2,Dominance,Distort,Median Shift,Maximal Drive
UI,H,ui,huath,backslash,left,3,1,2,Dominance,Invert,Median Shift,Atomic Reaction
UI,D,ui,duir,backslash,left,3,2,1,Modulation,Invert,Median Shift,Weak Resistance
UI,T,ui,tinne,backslash,left,3,3,0,Resonance,Invert,Median Shift,Median Balance
UI,C,ui,coll,backslash,left,3,4,1,Modulation,Invert,Median Shift,Strong Barrier
UI,W,ui,ceirt,backslash,left,3,5,2,Dominance,Invert,Median Shift,Maximal Opposition
UI,M,ui,muin,backslash,cross,3,1,2,Dominance,Fracture,Median Shift,Atomic Bind
UI,G,ui,gort,backslash,cross,3,2,1,Modulation,Fracture,Median Shift,Loose Knot
UI,N,ui,ngeadal,backslash,cross,3,3,0,Resonance,Fracture,Median Shift,Median Lock
UI,Z,ui,straif,backslash,cross,3,4,1,Modulation,Fracture,Median Shift,Strong Anchor
UI,R,ui,ruis,backslash,cross,3,5,2,Dominance,Fracture,Median Shift,Maximal Fusion
UI,A,ui,ailm,backslash,diagonal,3,1,2,Dominance,Turbulence,Median Shift,Atomic Flow
